Timestamp,Probability
2025-09-14 21:23:31,0.43
2025-09-14 21:23:39,0.72
2025-09-14 21:23:40,0.50
2025-09-14 21:23:51,0.43
2025-09-14 21:23:52,0.53
2025-09-14 21:23:57,0.51
2025-09-14 21:44:50,0.50
2025-09-14 21:44:51,0.48
2025-09-14 21:44:54,0.43
2025-09-14 21:44:55,0.52
2025-09-14 21:44:56,0.60
2025-09-14 21:45:01,0.67
2025-09-14 21:45:03,0.80
2025-09-14 21:45:04,0.76
2025-09-14 21:57:19,0.78
2025-09-14 21:57:21,0.60
2025-09-14 21:57:23,0.58
2025-09-14 21:57:32,0.42
2025-09-14 22:18:48,0.78
2025-09-14 22:18:56,0.54
2025-09-14 22:19:04,0.56
2025-09-14 22:27:54,0.88
2025-09-14 22:30:58,0.79
2025-09-14 22:31:01,0.47
2025-09-14 22:31:09,0.80
2025-09-19 09:12:30,0.58
2025-09-19 09:13:12,0.46
2025-09-19 09:34:27,0.77
2025-09-19 09:37:20,0.45
2025-09-19 09:52:42,0.79
2025-09-19 09:53:37,0.52
2025-09-19 18:12:58,0.60
2025-09-22 14:22:27,0.79
2025-09-22 14:24:21,0.42
2025-09-22 14:29:24,0.46
2025-09-22 15:23:42,0.49
2025-09-22 15:23:49,0.55
2025-09-22 15:24:21,0.71
2025-09-22 15:25:47,0.56
2025-09-22 15:25:56,0.40
2025-09-22 15:28:39,0.47
2025-09-22 15:28:42,0.57
2025-09-22 15:28:44,0.55
2025-09-22 15:30:28,0.48
2025-09-22 15:31:02,0.48
2025-09-22 15:32:50,0.63
2025-09-22 15:36:01,0.44
2025-09-22 15:36:39,0.52
2025-09-22 15:36:42,0.50
2025-09-22 15:40:16,0.46
2025-09-23 11:36:47,0.70
2025-09-23 11:36:52,0.62
2025-09-23 11:36:59,0.49
2025-09-23 11:58:17,0.69
2025-09-23 11:58:26,0.71
2025-09-23 11:58:31,0.53
2025-09-23 11:58:36,0.61
2025-09-23 14:21:14,0.47
2025-09-23 14:21:24,0.61
2025-09-23 14:24:57,0.64
2025-09-23 16:47:23,0.51
2025-11-21 19:08:29,0.42
2025-11-21 19:08:37,0.44
2025-12-07 18:18:58,0.65
2025-12-07 18:19:11,0.66
2025-12-07 18:19:15,0.71
2025-12-07 18:19:17,0.67
2025-12-07 18:19:20,0.64
2025-12-07 18:19:53,0.78
2025-12-07 18:20:19,0.47
2025-12-07 18:20:32,0.40
2025-12-07 18:20:40,0.60
2025-12-07 18:20:49,0.77
2025-12-07 18:21:00,0.64
2025-12-07 18:21:08,0.72
2025-12-07 18:21:38,0.56
2025-12-07 18:21:55,0.55
2025-12-07 18:25:56,0.58
2025-12-07 18:26:10,0.50
2025-12-07 18:33:12,0.51
2025-12-09 10:01:12,0.75
2025-12-09 10:01:39,0.64
2025-12-09 10:24:06,0.73
